method,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL,21,0.0001,0.0001,219315,227864.9,21.9315,9.624782052874312e-05,0.050825752130961056,-0.04373711669097655,0.14538862095289867,0.06451855914141717,0.0679009658801772,0.9501861763685533,0.8958453001704444,0.5,SIWKL_matrix_k21_alpha0p0001_beta0p0001.txt
SIWKL,21,0.0001,1e-06,219315,227864.9,21.9315,9.624782052874312e-05,0.0508255989913907,-0.04373710159474835,0.14538829957752974,0.06451839653963495,0.06790078386769939,0.9501863287078568,0.8958454241582003,0.5,SIWKL_matrix_k21_alpha0p0001_beta1em06.txt
SIWKL,21,1e-06,1.0,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.0518156034010943,-0.04355578153176403,0.14718698833395266,0.09840314886222726,0.10367084423258854,0.9491882659068247,0.8949908201828126,0.5,SIWKL_matrix_k21_alpha1em06_beta1p0.txt
SIWKL,21,1e-06,0.1,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.050940258201145415,-0.043420269167641024,0.14530078556993184,0.09694797898403731,0.10204440382590654,0.9500567924276964,0.8957458429196559,0.5,SIWKL_matrix_k21_alpha1em06_beta0p1.txt
SIWKL,21,1e-06,0.01,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.050808965327417674,-0.04340736415872111,0.1450252948135565,0.09673805786419137,0.10180945058691966,0.950187407028598,0.8958531886047165,0.5,SIWKL_matrix_k21_alpha1em06_beta0p01.txt
SIWKL,21,1e-06,0.001,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.050795128307856395,-0.04340609450774263,0.1449963511234554,0.09671604429755197,0.10178480795835129,0.9502011767524936,0.8958644379018446,0.5,SIWKL_matrix_k21_alpha1em06_beta0p001.txt
SIWKL,21,1e-06,0.0001,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.0507937370681852,-0.043405967776574246,0.14499344191294464,0.09671383208960342,0.10178233150672833,0.9502025612688009,0.8958655683172043,0.5,SIWKL_matrix_k21_alpha1em06_beta0p0001.txt
SIWKL,21,1e-06,1e-06,219315,227864.9,0.21931499999999998,9.624782052874312e-07,0.05079358394760376,-0.04340595383877288,0.1449931217339804,0.0967135886255219,0.10178205896090256,0.950202713649882,0.8958656927241886,0.5,SIWKL_matrix_k21_alpha1em06_beta1em06.txt
SIWKL,31,1.0,1.0,236913,227854.9,236913.0,1.0397538082349775,0.06356912687571549,-0.07182808783670158,0.19896634158813256,0.0036974103741225133,0.003936637628812516,0.9392305624121758,0.88489275537137,0.5,SIWKL_matrix_k31_alpha1p0_beta1p0.txt
SIWKL,31,1.0,0.1,236913,227854.9,236913.0,1.0397538082349775,0.06254538026553831,-0.07154122873861044,0.19663198926968706,0.0036418094279478883,0.0038733155357471584,0.9402305064839979,0.8852627553439094,0.5,SIWKL_matrix_k31_alpha1p0_beta0p1.txt
SIWKL,31,1.0,0.01,236913,227854.9,236913.0,1.0397538082349775,0.0623915089475778,-0.07150782869136392,0.1962908465865195,0.0036337907005509207,0.0038641661638774572,0.9403815846533451,0.8853125515524086,0.5,SIWKL_matrix_k31_alpha1p0_beta0p01.txt
SIWKL,31,1.0,0.001,236913,227854.9,236913.0,1.0397538082349775,0.062375287884251326,-0.07150442672233828,0.19625500249084094,0.0036329498422981873,0.0038632065288973796,0.9403975208478147,0.885317734553455,0.5,SIWKL_matrix_k31_alpha1p0_beta0p001.txt
SIWKL,31,1.0,0.0001,236913,227854.9,236913.0,1.0397538082349775,0.06237365689468875,-0.07150408588212456,0.19625139967150207,0.003632865342327811,0.003863110090541092,0.9403991232926444,0.8853182550180249,0.5,SIWKL_matrix_k31_alpha1p0_beta0p0001.txt
