method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample06.pathological.fa,pathological,0.06926830,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample07.pathological.fa,pathological,0.07174799,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample08.pathological.fa,pathological,0.06890609,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample09.pathological.fa,pathological,0.06857799,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.01,True,sample10.pathological.fa,pathological,0.06846857,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample01.functional.fa,functional,-0.03933693,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample02.functional.fa,functional,-0.03891598,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample03.functional.fa,functional,-0.04246750,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample04.functional.fa,functional,-0.03823746,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample05.functional.fa,functional,-0.04144702,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample06.pathological.fa,pathological,0.07058116,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample07.pathological.fa,pathological,0.07321544,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample08.pathological.fa,pathological,0.07042727,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample09.pathological.fa,pathological,0.07016268,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,0.1,True,sample10.pathological.fa,pathological,0.06991936,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample01.functional.fa,functional,-0.03679588,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample02.functional.fa,functional,-0.03652063,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample03.functional.fa,functional,-0.03999097,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample04.functional.fa,functional,-0.03523757,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample05.functional.fa,functional,-0.04010683,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample06.pathological.fa,pathological,0.08154664,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample07.pathological.fa,pathological,0.08537169,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample08.pathological.fa,pathological,0.08301013,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample09.pathological.fa,pathological,0.08334573,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.001,1.0,True,sample10.pathological.fa,pathological,0.08194824,weak_ambiguous
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,sample01.functional.fa,functional,-0.03979547,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,sample02.functional.fa,functional,-0.03940998,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,sample03.functional.fa,functional,-0.04295645,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,sample04.functional.fa,functional,-0.03880339,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,sample05.functional.fa,functional,-0.04179087,possibly_misplaced
SIWKL_inverse_G_global_beta_true_uncapped,21,0.01,0.001,True,sample06.pathological.fa,pathological,0.06925602,weak_ambiguous
