method,weight_function,capped_weight,k,alpha,beta,sample,class,silhouette_value
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample04.functional,functional,-0.07375379782917629
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample05.functional,functional,-0.08251936667176768
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample06.pathological,pathological,0.1454747652339425
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample07.pathological,pathological,0.14656476370337154
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample08.pathological,pathological,0.14578643678687186
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample09.pathological,pathological,0.1507103798773158
SIWKL_inverse_G,1/G,True,51,1.0,1.0,sample10.pathological,pathological,0.15270002497273785
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample01.functional,functional,-0.07728644580413356
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample02.functional,functional,-0.07469624594533274
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample03.functional,functional,-0.0756295665854977
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample04.functional,functional,-0.07374595095281937
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample05.functional,functional,-0.08245913120524076
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample06.pathological,pathological,0.14543254749970294
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample07.pathological,pathological,0.14651560953717163
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample08.pathological,pathological,0.1457344351837513
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample09.pathological,pathological,0.150653378490357
SIWKL_inverse_G,1/G,True,51,0.1,1.0,sample10.pathological,pathological,0.15265436690186437
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample01.functional,functional,-0.07726288437002973
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample02.functional,functional,-0.07467284557469114
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample03.functional,functional,-0.07561629991492756
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample04.functional,functional,-0.07374256705472848
SIWKL_inverse_G,1/G,True,51,0.01,1.0,sample05.functional,functional,-0.0824367256765427
