method,k,alpha,beta,uncapped,sample,class,sample_silhouette_score,status
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample02.functional.fa,functional,-0.00449396,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample03.functional.fa,functional,-0.00429358,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample04.functional.fa,functional,0.00536220,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample05.functional.fa,functional,-0.00144669,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample06.pathological.fa,pathological,0.06136581,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample07.pathological.fa,pathological,0.06631477,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample08.pathological.fa,pathological,0.06664854,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample09.pathological.fa,pathological,0.06506777,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,sample10.pathological.fa,pathological,0.05853275,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample01.functional.fa,functional,-0.00701087,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample02.functional.fa,functional,-0.01011654,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample03.functional.fa,functional,-0.00926109,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample04.functional.fa,functional,-0.00095240,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample05.functional.fa,functional,-0.00658949,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample06.pathological.fa,pathological,0.05619663,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample07.pathological.fa,pathological,0.06069446,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample08.pathological.fa,pathological,0.06087709,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample09.pathological.fa,pathological,0.05825830,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.001,True,sample10.pathological.fa,pathological,0.05381519,weak_ambiguous
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample01.functional.fa,functional,-0.00700176,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample02.functional.fa,functional,-0.01010658,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample03.functional.fa,functional,-0.00925963,possibly_misplaced
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,0.01,True,sample04.functional.fa,functional,-0.00093844,possibly_misplaced
